Age,cohort,data_source,10th Percentile,20th Percentile,30th Percentile,40th Percentile,5th percentile,50th Percentile,60th Percentile,70th Percentile,80th Percentile,90th Percentile,95th Percentile,98th Percentile,Mean
19,1926-1930,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1931-1935,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1936-1940,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1941-1945,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1946-1950,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1951-1955,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1956-1960,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1961-1965,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1966-1970,SCF,0,0,0,0,0,0,0,0,0,0,0,0.597,0.022
19,1971-1975,SCF,0,0,0,0,0,0,0,0,0,0.262,1.962,3.096,0.326
19,1976-1980,SCF,0,0,0,0,0,0,0,0,0,0.624,2.51,5.89,0.331
19,1981+,SCF,0,0,0,0,0,0,0,0,0,0,0.152,0.946,0.058
19,All,SCF,0,0,0,0,0,0,0,0,0,0.221,1.156,2.632,0.184
19,low-1925,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1926-1930,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1931-1935,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1936-1940,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1941-1945,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1946-1950,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1951-1955,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1956-1960,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1961-1965,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1966-1970,SCF,0,0,0,0,0,0,0,0,0,0,0,0.597,0.016
20,1971-1975,SCF,0,0,0,0,0,0,0,0,0,0.262,1.295,2.51,0.232
20,1976-1980,SCF,0,0,0,0,0,0,0,0,0,0.52,1.109,6.133,0.271
20,1981+,SCF,0,0,0,0,0,0,0,0,0,0,0.196,0.972,0.077
20,All,SCF,0,0,0,0,0,0,0,0,0,0.195,0.65,2.553,0.149
20,low-1925,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1926-1930,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1931-1935,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1936-1940,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1941-1945,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1946-1950,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1951-1955,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1956-1960,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1961-1965,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1966-1970,SCF,0,0,0,0,0,0,0,0,0,0,0,0.597,0.025
21,1971-1975,SCF,0,0,0,0,0,0,0,0,0,0.301,1.032,2.311,0.205
21,1976-1980,SCF,0,0,0,0,0,0,0,0,0,0.121,0.52,1.143,0.136
