Age,cohort,data_source,10th percentile,20th percentile,30th percentile,40th percentile,5th percentile,50th percentile,60th percentile,70th percentile,80th percentile,90th percentile,95th percentile,98th percentile,Mean
19,1926-1930,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1931-1935,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1936-1940,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1941-1945,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1946-1950,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1951-1955,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1956-1960,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1961-1965,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1966-1970,SCF,0,0.001,0.001,0.01,-0.1,0.149,0.159,0.308,0.308,0.746,2.182,6.343,0.476
19,1971-1975,SCF,-0.037,0,0,0.01,-0.116,0.055,0.127,0.218,0.307,0.576,2.18,2.673,0.488
19,1976-1980,SCF,-0.1,0,0.015,0.052,-0.243,0.109,0.179,0.265,0.543,0.85,2.043,4.339,0.435
19,1981+,SCF,-0.07,0,0.002,0.033,-0.213,0.074,0.14,0.216,0.307,0.6,1.395,3.66,0.47
19,All,SCF,-0.052,0,0.004,0.026,-0.168,0.097,0.151,0.252,0.366,0.693,1.95,4.254,0.467
19,low-1925,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1926-1930,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1931-1935,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1936-1940,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1941-1945,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1946-1950,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1951-1955,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1956-1960,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1961-1965,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1966-1970,SCF,-0.025,0.001,0.001,0.057,-0.219,0.128,0.182,0.308,0.4,0.861,2.182,6.343,0.493
20,1971-1975,SCF,-0.124,-0.033,0,0.016,-0.243,0.061,0.1,0.166,0.307,0.635,2.063,3.98,0.341
20,1976-1980,SCF,-0.055,-0.001,0.004,0.038,-0.346,0.142,0.202,0.309,0.471,0.844,1.941,2.831,0.414
20,1981+,SCF,-0.149,-0.011,0,0.028,-0.278,0.067,0.119,0.211,0.306,0.605,1.385,3.691,0.48
20,All,SCF,-0.088,-0.011,0.001,0.035,-0.272,0.099,0.151,0.248,0.371,0.736,1.893,4.211,0.432
20,low-1925,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1926-1930,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1931-1935,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1936-1940,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1941-1945,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1946-1950,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1951-1955,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1956-1960,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
